id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
7f6d409b-c869-41e0-9604-1698ec062c35,Adricapro,Sunset,Competitive,Gekko,Iniciador,13,6,21,6,"['kinepoldani', 'La Falete', 'Ph4r40h', 'ByPlayF0x']",Silver,1.0,"['Miks', 'Cypher', 'Chamber', 'Gekko', 'Iso']",158.292,2,2,0,11,13,1787507019,"Sunday, August 23, 2026 05:43 PM"
772f6bc7-525b-42e3-8e9a-e638e2a61ae5,Adricapro,Lotus,Competitive,Jett,Duelista,11,3,11,11,"['pamarca22', 'AdeKv2', 'PewPewTwo2', 'Tengodierna']",Bronze,3.0,"['Sage', 'Breach', 'Jett', 'Clove', 'Reyna']",177.722,2,1,1,13,5,1787502598,"Sunday, August 23, 2026 04:29 PM"
3477832b-065c-4c9e-a891-ea89f1ec2b8a,Adricapro,Split,Competitive,Omen,Controlador,14,9,17,12,"['K4GE', 'ZG y4mi', 'Gonga29', 'R0drigo90']",Bronze,3.0,"['Neon', 'Waylay', 'Cypher', 'Omen', 'Phoenix']",201.455,3,0,2,13,9,1787499920,"Sunday, August 23, 2026 03:45 PM"
f94e6466-d661-43a1-97b8-0a0e8a82c983,Adricapro,Summit,Competitive,Reyna,Duelista,21,7,23,20,"['SrtaBecca', 'SA Dannyblessed', 'Chafahuevos', 'SA zucablessed']",Bronze,3.0,"['Sage', 'Miks', 'Reyna', 'Neon', 'Gekko']",219.536,1,5,2,14,14,1787497150,"Sunday, August 23, 2026 02:59 PM"
c0b207fe-5eff-40df-9fe3-e9fd04613822,Adricapro,Haven,Competitive,Skye,Iniciador,20,6,13,14,"['azkonxs', 'bilko', 'biko', 'whosvdy']",Bronze,3.0,"['Skye', 'Killjoy', 'Reyna', 'Omen', 'Jett']",228.091,0,1,3,13,9,1787495031,"Sunday, August 23, 2026 02:23 PM"
546bc7ec-8c28-4d16-af30-836ccb11a8fc,Adricapro,Haven,Competitive,Breach,Iniciador,24,6,19,14,"['Ｓｏｕｌ Ｋｉｎｇ', 'Hugomotokros', 'pitienzas', 'Sangel']",Silver,1.0,"['Chamber', 'Reyna', 'Brimstone', 'Killjoy', 'Breach']",240.077,1,2,1,14,12,1787582575,"Monday, August 24, 2026 02:42 PM"
c55554b4-85d5-4a9b-b684-b70eb01c1ffe,Adricapro,Split,Competitive,Miks,Controlador,16,10,7,8,"['Hugomotokros', 'flacasalpoder', 'maduroelmasduro', 'pollo33']",Silver,1.0,"['Miks', 'Gekko', 'Jett', 'Iso', 'Chamber']",206.368,1,1,2,13,6,1787580225,"Monday, August 24, 2026 02:03 PM"
75115c4d-de33-46e1-a209-a9a32c0510dd,Adricapro,Sunset,Competitive,Skye,Iniciador,23,9,19,15,"['Juan Antonio', 'robert46', 'iizanmrtnzz', 'Im ass']",Silver,1.0,"['Chamber', 'Skye', 'Omen', 'Phoenix', 'Jett']",285.042,2,1,3,13,11,1787577717,"Monday, August 24, 2026 01:21 PM"
cfb8ee41-a486-4cdd-8b17-6f7a7656de07,Adricapro,Abyss,Competitive,Harbor,Controlador,19,3,20,11,"['tet0na', 'Flores', 'danivm4', 'bobnaldo']",Silver,1.0,"['Jett', 'Chamber', 'Harbor', 'Gekko', 'Yoru']",211.385,1,2,3,13,13,1787570675,"Monday, August 24, 2026 11:24 AM"
f5eb0b11-b55d-4314-9ed1-40b249f911e0,Adricapro,Abyss,Competitive,Veto,Centinela,13,5,12,10,"['Tikchbilaa', 'I miss her', 'Poki el Mago', 'M3ntirvski']",Silver,1.0,"['Clove', 'Skye', 'Veto', 'Chamber', 'Yoru']",201.2,1,1,4,13,7,1787568617,"Monday, August 24, 2026 10:50 AM"
cc3a2961-6ac1-4afd-87e4-d05e13fb30ce,Adricapro,Split,Competitive,Clove,Controlador,12,7,10,8,"['xxxToxicTitanxxx', 'Martinha', 'maff', 'ΡαbloLS ツ']",Silver,1.0,"['Iso', 'Sage', 'Raze', 'Skye', 'Clove']",180.824,2,0,1,13,4,1787607760,"Monday, August 24, 2026 09:42 PM"
