id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
07a0abb0-ec09-4e5a-b4de-ce90cfd1c831,Saxx,Pearl,Competitive,Jett,Duelista,16,3,23,15,"['VadyaJoker', 'Драйко', 'Eiri', 'DEATHZV2 EGO']",Ascendant,3.0,"['KAY/O', 'Reyna', 'Jett', 'Clove', 'Chamber']",193.5,1,3,0,12,14,,
a9c41f68-4797-4881-bb92-07b6d8db2208,Saxx,Split,Competitive,Clove,Controlador,23,8,22,22,"['Lost from Light', 'Драйко', 'riku', 'wudv married her']",Ascendant,3.0,"['Chamber', 'Reyna', 'Clove', 'Jett', 'Phoenix']",282.75,1,0,1,13,11,,
eae23fc0-2bc1-413d-91b3-cf25091c1070,Saxx,Breeze,Competitive,Clove,Controlador,12,6,19,9,"['llllllllllllllll', 'Hoo Wee Sheet', 'barkns', 'uhh']",Ascendant,3.0,"['Sova', 'Yoru', 'Jett', 'Chamber', 'Clove']",168.05,1,2,2,13,7,,
2967fc06-c019-4252-9fad-9b6c7b2bd1ae,Saxx,Fracture,Competitive,Jett,Duelista,6,3,17,5,"['Hoo Wee Sheet', 'shiro', 'hstlaa', 'AngelPanda']",Ascendant,3.0,"['Clove', 'Reyna', 'Viper', 'Jett', 'Chamber']",92.2,0,5,3,13,7,,
0ae5ca3c-2e92-4ca1-931b-c21c5a21034b,Saxx,Split,Competitive,Fade,Iniciador,8,5,16,7,"['ARABE100PAPIERS', 'Драйко', 'OP dog', 'she supports me']",Ascendant,3.0,"['Reyna', 'Clove', 'Fade', 'Deadlock', 'Jett']",122.167,0,1,0,5,13,1781247594.0,"Friday, June 12, 2026 06:59 AM"
064900ae-674a-46e0-b59b-757ecdad6a38,Saxx,Lotus,Competitive,Reyna,Duelista,15,6,17,13,"['Драйко', 'Bibble V2', 'Akuma', 'voca']",Ascendant,3.0,"['Jett', 'Reyna', 'Fade', 'Chamber', 'Omen']",215.7,4,3,0,7,13,1781253175.0,"Friday, June 12, 2026 08:32 AM"
4558edee-9bcf-4b2b-aa35-752f382216bd,Saxx,Split,Competitive,Clove,Controlador,11,8,18,8,"['Yezog', 'hytuiop', 'Драйко', 'veber']",Ascendant,3.0,"['Raze', 'Reyna', 'Jett', 'Clove', 'Fade']",200.471,1,1,0,4,13,1781251329.0,"Friday, June 12, 2026 08:02 AM"
81ebb9b9-0ad4-46e6-a67d-17367df26210,Saxx,Breeze,Competitive,Reyna,Duelista,9,4,14,7,"['blackberry', 'Fabsn', '悟空おじさん', 'Драйко']",Ascendant,3.0,"['Reyna', 'Chamber', 'Astra', 'Sova', 'Jett']",143.8,1,2,1,13,7,1781249439.0,"Friday, June 12, 2026 07:30 AM"
1c2d896d-d8f3-42a5-8967-6a5b7e18bd49,Saxx,Haven,Competitive,Reyna,Duelista,13,5,9,10,"['yoneda', 'I SEE U BABY BOI', 'Ferdinan2Saussur', 'SkyBreak']",Ascendant,2.0,"['Jett', 'Clove', 'Sova', 'Chamber', 'Reyna']",233.533,1,1,1,13,2,1781344261.0,"Saturday, June 13, 2026 09:51 AM"
bbd1adc2-4755-430d-a2c7-f6ecf1b0ee08,Saxx,Fracture,Competitive,Reyna,Duelista,23,4,19,12,"['yoneda', 'twitch axel38tv', 'SHaD', 'I Need M3 F80']",Ascendant,2.0,"['Reyna', 'Jett', 'Brimstone', 'Sova', 'Chamber']",261.208,1,2,0,11,13,1781341798.0,"Saturday, June 13, 2026 09:09 AM"
bee478f8-bb65-4743-b308-5f4bcc698c51,Saxx,Ascent,Competitive,Jett,Duelista,9,7,13,9,"['zuki', 'AlY', 'イオウンマーシャル', 'yoneda']",Ascendant,2.0,"['Jett', 'Cypher', 'KAY/O', 'Omen', 'Reyna']",184.529,5,4,1,13,4,1781340127.0,"Saturday, June 13, 2026 08:42 AM"
2193e418-1d11-420e-9dea-fdbf1d4c8792,Saxx,Split,Competitive,Sage,Centinela,12,11,19,9,"['yoneda', 'there is no tmrw', 'chori', 'w1nqzz']",Ascendant,2.0,"['Chamber', 'Clove', 'Skye', 'Jett', 'Sage']",179.905,2,0,0,8,13,1781338021.0,"Saturday, June 13, 2026 08:07 AM"
c215b618-20de-4a89-8c1a-6b4dd31b5d3b,Saxx,Lotus,Competitive,Iso,Duelista,19,7,24,15,"['neon zoomer67', 'IsmazZDeuS', 'water enjoyer', 'yoneda']",Ascendant,2.0,"['Reyna', 'Fade', 'Omen', 'Jett', 'Iso']",190.321,1,5,0,14,14,1781347810.0,"Saturday, June 13, 2026 10:50 AM"
