id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
1bbe367b-aeb2-4f1d-9160-84163fc7e83d,angelutrix,Haven,Competitive,Sage,Centinela,8,5,19,4,"['jester', 'sp3eed', 'DylanPrime', 'Aaronnn17']",Silver,2.0,"['Jett', 'Skye', 'Clove', 'Sage', 'Raze']",130.381,1,1,0,8,13,,
32fd6f23-6d77-45c6-8ef0-7037a0de5cc0,angelutrix,Haven,Competitive,Astra,Controlador,11,16,22,4,"['XRkokoS', 'NotLuca202', 'XRhstoS9 11', 'Aaronnn17']",Silver,2.0,"['Iso', 'Sage', 'Phoenix', 'Astra', 'Skye']",141.357,1,3,1,15,13,,
95799edf-4ec3-4865-bd79-d759ad23bb01,angelutrix,Lotus,Competitive,Skye,Iniciador,21,14,21,5,"['sassolover', 'Zentix', 'XFabianツ', 'Aaronnn17']",Silver,2.0,"['Phoenix', 'Miks', 'Omen', 'Skye', 'Chamber']",207.3,0,3,0,14,16,,
38d21fd7-0825-4f38-8747-9760fb59856b,angelutrix,Skirmish B,,Phoenix,Duelista,4,1,12,0,['Aaronnn17'],Unrated,,"['Phoenix', 'Sova']",70.867,1,5,0,5,10,,
a0be3300-259f-404b-ba43-425bb316260c,angelutrix,Pearl,Competitive,Astra,Controlador,18,3,19,8,"['papa pito', 'BaronRed ツ', 'mamipito', 'Axyela2508']",Silver,2.0,"['Chamber', 'Astra', 'Neon', 'Killjoy', 'Fade']",227.542,5,2,0,11,13,,
00fa081a-0796-466b-a9f8-0fb5bc983aee,angelutrix,Lotus,Competitive,Brimstone,Controlador,26,4,16,20,"['Chiste sad002', 'andy', 'papa pito', 'mamipito']",Silver,2.0,"['Neon', 'Sage', 'Skye', 'Killjoy', 'Brimstone']",316.391,2,3,1,13,10,,
fbbff0ae-0b9c-4e7b-901f-a71055f49015,angelutrix,Breeze,Competitive,Skye,Iniciador,20,7,20,16,"['Brian Moser', 'Kairo', 'hanamontana彳', 'hop']",Silver,2.0,"['Deadlock', 'Reyna', 'Clove', 'Omen', 'Skye']",213.357,3,4,1,14,14,,
05426d75-f4d9-490b-bf8f-ae822cf565f8,angelutrix,Skirmish C,,Waylay,Duelista,12,2,7,0,['ASHINA'],Unrated,,"['Tejo', 'Waylay']",228.846,7,3,2,10,3,,
d8f9d067-1f45-4b36-b35b-063956f50c35,angelutrix,Skirmish C,,Astra,Controlador,8,0,11,0,['randoonbx'],Unrated,,"['Astra', 'Raze']",142.692,2,5,0,3,10,,
376c981b-4602-44fc-b6ab-f4c23dc532ac,angelutrix,Bind,Unrated,Chamber,Centinela,14,2,13,9,"['Chiste sad002', 'rondax', 'ImTheNoobMaster', 'エリック']",Unrated,,"['Chamber', 'Neon', 'Miks', 'Clove', 'Omen']",217.471,0,3,1,13,4,,
1df91289-61fd-4f9f-8937-92216e075af2,angelutrix,Fracture,Competitive,Skye,Iniciador,21,8,16,12,"['papa pito', 'Nicolas mcduro', '54movi', 'B R A l S']",Silver,2.0,"['Skye', 'Brimstone', 'Jett', 'Reyna', 'Sage']",278.143,5,1,0,8,13,,
9a5775ee-f7e4-4b00-be02-530f7674357b,angelutrix,Fracture,Unrated,Skye,Iniciador,13,4,13,7,"['Pecolsito', 'Ymarx', 'bardoisback', 'papa pito']",Unrated,,"['Chamber', 'Skye', 'Reyna', 'Phoenix', 'Brimstone']",159.381,1,0,1,13,8,,
514896b3-37d0-4f8b-82f1-36d4e03b716b,angelutrix,Split,Unrated,Skye,Iniciador,6,4,17,3,"['papa pito', 'ZegiCrnja', 'HarveySpecter', 'AxoCam']",Unrated,,"['Waylay', 'Chamber', 'Jett', 'Miks', 'Skye']",112.55,1,4,0,7,13,,
bc69f855-fe36-45ba-a64b-49d78d5a3bd6,angelutrix,Corrode,Unrated,Skye,Iniciador,11,4,6,6,"['Kingborg', 'Satoru Gojo', 'ProbLama', 'Yondu Udonta']",Unrated,,"['Iso', 'Neon', 'Skye', 'Sage', 'Miks']",197.812,1,1,1,9,3,,
66c8a419-a503-41ff-9422-4431ced30f11,angelutrix,Breeze,Competitive,Viper,Controlador,19,3,14,10,"['NADALISTA', 'papa pito', 'titanacorazado14', 'My Error LosTyou']",Silver,2.0,"['Iso', 'Viper', 'Chamber', 'Sova', 'Phoenix']",245.45,0,3,0,7,13,,
795d1ccf-b3b5-4691-acaa-c4c3b92e12d8,angelutrix,Breeze,Competitive,Viper,Controlador,12,1,7,7,"['RAW', 'LiL ZACK', 'papa pito', 'titanacorazado14']",Silver,2.0,"['Reyna', 'Sova', 'Viper', 'Chamber', 'Omen']",214.0,0,1,1,13,1,,
72a7a97f-6969-492d-9e19-c0eda1078297,angelutrix,Corrode,Unrated,Brimstone,Controlador,10,4,19,4,"['Alvaro28', 'NooTNooT', 'papa pito', 'Capitán Cachopo']",Unrated,,"['Miks', 'Astra', 'Omen', 'Phoenix', 'Brimstone']",147.333,2,1,0,11,13,,
6b3dd428-3279-415d-9d3d-b171a0f9c52a,angelutrix,Haven,Unrated,Brimstone,Controlador,14,5,11,8,"['papa pito', 'Capitán Cachopo', 'Alvaro28', 'Ønairda  777']",Unrated,,"['Fade', 'Brimstone', 'Jett', 'Iso', 'Vyse']",213.471,1,2,1,13,4,,
3fdcb99a-0b18-4c62-8f3c-abbd98acba86,angelutrix,Icebox,Unrated,Viper,Controlador,5,1,4,1,"['Ønairda  777', 'papa pito', 'Capitán Cachopo', 'Alvaro28']",Unrated,,"['Killjoy', 'Waylay', 'Viper', 'Phoenix', 'Tejo']",89.538,0,0,2,6,0,,
38a947ae-5a10-4dca-ac93-38d2eb81a6bb,angelutrix,Haven,Unrated,Vyse,Centinela,24,8,19,12,"['papa pito', 'pinkmoth', 'mamipito', 'Chiste sad002']",Unrated,,"['Omen', 'Sage', 'Vyse', 'Jett', 'Gekko']",296.16,1,2,1,13,12,,
bfef624e-d376-44fb-9904-fa94176c1c10,angelutrix,Lotus,Unrated,Brimstone,Controlador,13,5,12,4,"['Chiste sad002', 'mamipito', 'julen113', 'papa pito']",Unrated,,"['Vyse', 'KAY/O', 'Reyna', 'Brimstone', 'Skye']",260.125,1,0,0,3,10,,
fdd4469f-d72e-4963-b5b7-2948a130e34d,angelutrix,Ascent,Swiftplay,Chamber,Centinela,1,3,9,0,"['juanmita11', 'Chiste sad002', 'papa pito', 'Proex411']",Unrated,,"['Astra', 'Gekko', 'Reyna', 'Killjoy', 'Chamber']",86.778,0,1,0,4,5,,
