id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
a7f8fd0f-c4d1-4e1f-bc6a-9cb6d5fc9ac5,Ascent,12.0,4.0,11.0,8.0,Bronze,1.0,169.952,1.0,0.0,1.0,13.0,8.0,1,3,1
dba20f68-c163-48d1-a6ef-7c7efa279347,Haven,15.0,3.0,15.0,4.0,Bronze,1.0,191.3,2.0,2.0,1.0,13.0,7.0,0,2,2
298d3432-3fc7-46bb-b11e-f3ef5470e26d,Split,13.0,5.0,21.0,10.0,Bronze,1.0,183.261,4.0,4.0,0.0,10.0,13.0,0,2,2
b0fe0c62-98b6-4a38-bc51-bd4d654aae28,Summit,12.0,1.0,15.0,8.0,Bronze,1.0,172.579,3.0,2.0,0.0,6.0,13.0,0,2,2
b60a45af-77e5-4102-a776-fd38c734416d,Lotus,13.0,3.0,11.0,6.0,Bronze,1.0,186.316,2.0,1.0,1.0,13.0,6.0,1,3,1
dc4b6483-a078-4ff5-9ed3-6dbca9edfeb9,Split,8.0,8.0,14.0,5.0,Bronze,1.0,162.895,1.0,1.0,1.0,13.0,6.0,1,1,3
7c3951f9-1f29-4bce-a0c2-05a32852d840,Lotus,10.0,7.0,19.0,11.0,Bronze,1.0,168.167,2.0,5.0,0.0,5.0,13.0,1,3,1
f7a4f90a-dbbd-42f0-ac69-6d89b68a366b,Abyss,12.0,5.0,13.0,10.0,Bronze,1.0,205.833,2.0,2.0,1.0,13.0,5.0,0,3,1
79a697da-93e3-4d33-8df3-49df2a36d3ab,Sunset,18.0,5.0,15.0,15.0,Bronze,1.0,274.15,4.0,3.0,0.0,7.0,13.0,1,0,4
bb91f288-8eef-4af1-affa-6e16fdb35c2a,Ascent,12.0,2.0,10.0,10.0,Bronze,1.0,204.625,4.0,2.0,1.0,13.0,3.0,1,2,2
f13fd39b-6b99-414c-a24f-45fefa93073f,Abyss,18.0,2.0,14.0,17.0,Bronze,1.0,206.955,0.0,1.0,0.0,9.0,13.0,0,4,0
690cc1b4-f8e3-408c-9c19-3b208cb66f51,Sunset,13.0,2.0,17.0,10.0,Bronze,1.0,181.0,0.0,0.0,0.0,8.0,13.0,0,2,2
b8f24084-4fde-4d27-8a56-3f8e3e308aeb,Haven,13.0,3.0,14.0,8.0,Bronze,1.0,189.05,1.0,2.0,1.0,13.0,7.0,0,2,2
09995c76-8506-4382-bf9d-21acd48ad08a,Haven,6.0,7.0,22.0,8.0,Bronze,1.0,102.083,3.0,5.0,0.0,11.0,13.0,0,2,2
0ea38e36-b051-491a-af57-744227ccf5f8,Summit,16.0,9.0,19.0,10.0,Bronze,1.0,211.583,2.0,4.0,1.0,13.0,11.0,1,4,0
65b19ea5-6f88-4623-8c16-65b9af55f507,Abyss,8.0,4.0,15.0,8.0,Bronze,1.0,128.778,1.0,1.0,0.0,5.0,12.0,1,3,1
49c7a1ce-7c78-4d62-b2cf-19df6da7cfea,Ascent,3.0,6.0,9.0,3.0,Bronze,1.0,89.875,2.0,3.0,1.0,13.0,3.0,1,1,3
1342eb2e-7c49-48a0-9e51-cd97ba7947b3,Lotus,6.0,2.0,14.0,5.0,Bronze,1.0,107.944,2.0,3.0,0.0,5.0,10.0,0,3,1
b46752cb-bcc0-4e57-bb2c-5c6c6820028a,Ascent,14.0,6.0,8.0,9.0,Bronze,1.0,232.588,1.0,1.0,1.0,13.0,4.0,1,1,3
479d7700-584c-4778-9b37-a71961fee678,Sunset,2.0,0.0,3.0,3.0,Bronze,1.0,26.875,0.0,0.0,2.0,13.0,11.0,0,1,3
f29aae57-6a32-4344-b6a7-6649b07190fb,Summit,8.0,8.0,17.0,7.0,Bronze,1.0,119.708,1.0,2.0,0.0,11.0,13.0,1,3,1
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,Sunset,12.0,5.0,17.0,8.0,Silver,1.0,223.684,2.0,2.0,0.0,6.0,13.0,0,0,4
36eeca63-a129-4430-acef-0d9222f6308a,Lotus,29.0,3.0,16.0,16.0,Silver,1.0,306.885,5.0,3.0,1.0,14.0,12.0,1,0,4
e2d37204-dec6-48f9-b9f2-2424cde32cf4,Haven,25.0,7.0,18.0,12.0,Silver,2.0,297.792,3.0,1.0,0.0,11.0,13.0,0,1,3
2b76f826-b3d4-40bc-9d5c-810b2cc242d4,Split,8.0,5.0,13.0,4.0,Silver,2.0,171.533,0.0,3.0,0.0,2.0,12.0,1,0,4
33139f5a-231b-4709-82e6-605fa9532a81,Haven,25.0,3.0,16.0,10.0,Silver,1.0,315.273,4.0,2.0,0.0,9.0,13.0,1,2,2
8bd24b00-f999-4578-b0a3-ea1bd714e21d,Ascent,28.0,2.0,14.0,15.0,Silver,1.0,320.125,5.0,2.0,1.0,13.0,11.0,1,2,2
89e257a8-2670-4156-a8b4-904318a06edc,Haven,20.0,5.0,17.0,12.0,Silver,1.0,261.25,5.0,3.0,0.0,11.0,13.0,1,2,2
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,Ascent,31.0,4.0,17.0,18.0,Silver,1.0,301.036,0.0,4.0,0.0,13.0,15.0,1,2,2
b0ad034a-3941-404f-a3c7-286d6421751d,Ascent,1.0,0.0,5.0,0.0,Silver,1.0,23.538,0.0,2.0,0.0,0.0,5.0,0,1,3
4fc9000b-e73f-4b94-b527-c9888e51271d,Sunset,25.0,12.0,18.0,16.0,Silver,1.0,347.087,6.0,0.0,0.0,10.0,13.0,0,2,2
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,Summit,26.0,2.0,8.0,17.0,Silver,1.0,344.579,2.0,0.0,1.0,13.0,6.0,1,2,2
214280b1-aa81-424c-9d48-623459368572,Summit,9.0,1.0,11.0,4.0,Silver,1.0,195.467,2.0,2.0,0.0,2.0,10.0,0,2,2
6a3ad70e-4e38-49d4-90b4-850e09956db5,Sunset,23.0,4.0,8.0,16.0,Silver,1.0,372.706,4.0,1.0,1.0,13.0,4.0,1,2,2
a46ee9a8-2747-44f4-b4b7-aa0771ac23f5,Ascent,14.0,5.0,14.0,13.0,Silver,1.0,172.167,2.0,3.0,1.0,13.0,11.0,0,0,4
37122402-d17a-40df-9451-9188da9d62ad,Haven,6.0,2.0,13.0,3.0,Silver,1.0,107.062,0.0,2.0,0.0,3.0,13.0,1,1,3
7f14b58f-0ad2-4978-a5e6-b59ff9ca8749,Abyss,34.0,6.0,16.0,20.0,Silver,1.0,442.409,4.0,3.0,0.0,9.0,13.0,0,2,2
742a1457-3c54-434d-8513-22dc0b6239e0,Split,35.0,2.0,15.0,18.0,Silver,1.0,366.208,5.0,1.0,1.0,13.0,11.0,0,1,3
5593b1e2-152b-4c84-9738-5ff47bc99941,Sunset,9.0,7.0,7.0,4.0,Silver,1.0,180.5,1.0,0.0,2.0,13.0,3.0,0,1,3
df65a28d-b84c-4176-a00b-d61c55410ce3,Haven,29.0,10.0,12.0,15.0,Silver,1.0,394.8,2.0,1.0,3.0,13.0,7.0,0,1,3
9d667e00-cf6d-42d4-951f-a91e3a655608,Abyss,31.0,2.0,16.0,17.0,Silver,1.0,363.478,4.0,3.0,0.0,10.0,13.0,1,1,3
6b8fbb9d-63f9-49b9-917b-c75d6a10517e,Split,9.0,5.0,18.0,4.0,Silver,1.0,117.087,0.0,0.0,0.0,10.0,13.0,1,2,2
397c9ec6-f292-4d6f-8a5d-d0d1137ecb81,Haven,3.0,5.0,18.0,2.0,Silver,1.0,51.1,1.0,4.0,0.0,7.0,13.0,1,2,2
9a06a1fd-1a4c-40a9-a34c-bb377124aebd,Summit,8.0,2.0,16.0,7.0,Silver,1.0,145.765,0.0,3.0,0.0,4.0,13.0,1,2,2
43bd8b6b-1d99-4e72-8902-9f18f925e974,Haven,9.0,2.0,16.0,6.0,Silver,1.0,133.947,3.0,3.0,0.0,6.0,13.0,0,3,1
a683a31a-2a28-4149-8c41-f5195839c38b,Summit,7.0,3.0,14.0,3.0,Silver,1.0,112.833,1.0,7.0,0.0,5.0,13.0,0,3,1
a7f8fd0f-c4d1-4e1f-bc6a-9cb6d5fc9ac5,Ascent,11.0,9.0,16.0,6.0,Silver,1.0,154.762,0.0,2.0,1.0,13.0,8.0,1,3,1
dba20f68-c163-48d1-a6ef-7c7efa279347,Haven,16.0,4.0,14.0,8.0,Silver,1.0,206.8,1.0,0.0,1.0,13.0,7.0,1,2,2
b0fe0c62-98b6-4a38-bc51-bd4d654aae28,Summit,11.0,6.0,18.0,7.0,Silver,1.0,164.579,1.0,1.0,0.0,6.0,13.0,1,2,2
58952a4b-6820-47d0-9ed5-d2c3f1f96ef3,Split,17.0,14.0,14.0,8.0,Silver,1.0,260.9,0.0,0.0,1.0,13.0,7.0,0,1,3
b60a45af-77e5-4102-a776-fd38c734416d,Lotus,16.0,6.0,9.0,9.0,Silver,1.0,223.789,3.0,1.0,1.0,13.0,6.0,1,3,1
71a5a4b6-3fc6-49bd-b98f-f811e8cf01d9,Summit,14.0,4.0,19.0,6.0,Silver,1.0,169.583,1.0,1.0,0.0,11.0,13.0,1,0,4
dc4b6483-a078-4ff5-9ed3-6dbca9edfeb9,Split,13.0,3.0,13.0,2.0,Silver,1.0,170.684,4.0,1.0,1.0,13.0,6.0,1,1,3
7c3951f9-1f29-4bce-a0c2-05a32852d840,Lotus,16.0,4.0,16.0,7.0,Silver,1.0,265.278,2.0,0.0,0.0,5.0,13.0,1,3,1
f7a4f90a-dbbd-42f0-ac69-6d89b68a366b,Abyss,17.0,3.0,12.0,12.0,Silver,1.0,266.778,4.0,1.0,1.0,13.0,5.0,0,3,1
5dc3d7ac-a4fa-47e0-a9fb-ffd2194b8a1c,Ascent,9.0,7.0,14.0,7.0,Silver,1.0,139.85,1.0,3.0,1.0,13.0,7.0,0,1,3
bb91f288-8eef-4af1-affa-6e16fdb35c2a,Ascent,7.0,4.0,9.0,2.0,Silver,1.0,124.062,0.0,1.0,2.0,13.0,3.0,1,2,2
afb7d934-228a-45d8-99d6-ad6af8507878,Split,18.0,15.0,21.0,7.0,Silver,1.0,198.923,1.0,0.0,0.0,12.0,14.0,0,2,2
f13fd39b-6b99-414c-a24f-45fefa93073f,Abyss,13.0,4.0,17.0,5.0,Silver,1.0,159.455,4.0,1.0,0.0,9.0,13.0,0,4,0
690cc1b4-f8e3-408c-9c19-3b208cb66f51,Sunset,12.0,4.0,17.0,12.0,Silver,1.0,172.952,3.0,3.0,0.0,8.0,13.0,0,2,2
b8f24084-4fde-4d27-8a56-3f8e3e308aeb,Haven,8.0,8.0,14.0,3.0,Silver,1.0,124.75,2.0,2.0,1.0,13.0,7.0,0,2,2
09995c76-8506-4382-bf9d-21acd48ad08a,Haven,16.0,9.0,20.0,11.0,Silver,1.0,186.958,2.0,1.0,0.0,11.0,13.0,1,2,2
0ea38e36-b051-491a-af57-744227ccf5f8,Summit,15.0,2.0,18.0,8.0,Bronze,3.0,165.833,4.0,4.0,1.0,13.0,11.0,1,4,0
65b19ea5-6f88-4623-8c16-65b9af55f507,Abyss,20.0,1.0,14.0,11.0,Silver,1.0,313.278,6.0,2.0,0.0,5.0,12.0,0,3,1
49c7a1ce-7c78-4d62-b2cf-19df6da7cfea,Ascent,23.0,6.0,13.0,13.0,Bronze,3.0,407.75,3.0,2.0,1.0,13.0,3.0,0,1,3
1342eb2e-7c49-48a0-9e51-cd97ba7947b3,Lotus,20.0,1.0,11.0,14.0,Silver,1.0,300.944,2.0,1.0,0.0,5.0,10.0,0,3,1
479d7700-584c-4778-9b37-a71961fee678,Sunset,21.0,9.0,19.0,5.0,Silver,1.0,280.375,5.0,4.0,1.0,13.0,11.0,0,1,3
f29aae57-6a32-4344-b6a7-6649b07190fb,Summit,24.0,3.0,16.0,16.0,Silver,1.0,281.458,1.0,4.0,0.0,11.0,13.0,0,3,1
21b6b62f-7cb1-4773-9835-db4101800fc0,Pearl,19.0,4.0,12.0,6.0,Gold,3.0,323.059,3.0,2.0,1.0,13.0,4.0,1,1,3
8ac3d251-b92a-4e06-a10b-9330481e4dcf,Lotus,14.0,3.0,8.0,5.0,Gold,3.0,225.562,2.0,1.0,2.0,13.0,3.0,0,1,3
57bf22f5-2530-4e47-9811-a909fd1c2966,Fracture,9.0,2.0,8.0,4.0,Gold,3.0,141.133,1.0,0.0,3.0,10.0,2.0,0,1,3
1910a185-4da5-421d-9458-d215b41ae5ec,Split,31.0,12.0,18.0,14.0,Platinum,1.0,310.607,4.0,3.0,0.0,14.0,14.0,0,1,3
816870a4-a03f-4375-aefe-a594b3efdf97,Pearl,12.0,3.0,15.0,7.0,Platinum,1.0,194.111,1.0,3.0,0.0,5.0,13.0,1,1,3
30334f0a-ab00-44eb-a0f7-bc9a579e45da,Lotus,22.0,6.0,11.0,12.0,Gold,3.0,341.0,5.0,0.0,1.0,13.0,6.0,1,1,3
d1f19aea-3a52-4d1a-b5e4-df1db5409751,Bind,8.0,10.0,10.0,3.0,Gold,3.0,156.611,1.0,0.0,2.0,13.0,5.0,0,1,3
d077d941-eaf0-4904-b35f-005fb0490ac0,Split,14.0,8.0,11.0,3.0,Gold,3.0,244.167,3.0,0.0,3.0,13.0,5.0,0,1,3
255825b8-b18a-4421-99ec-f1b00f2c0621,Fracture,21.0,6.0,14.0,2.0,Platinum,1.0,272.727,4.0,1.0,0.0,9.0,13.0,0,1,3
cb3d7345-b2c4-48c0-8410-92502c39db42,Bind,34.0,15.0,21.0,11.0,Platinum,1.0,388.308,3.0,3.0,0.0,12.0,14.0,0,4,0
96932143-e504-4428-b94b-5ea7089a1b63,Split,17.0,9.0,18.0,10.0,Gold,3.0,233.087,5.0,1.0,3.0,13.0,10.0,0,1,3
c08e6fd1-bbcd-43e2-8507-26135ca9cd78,Fracture,23.0,5.0,16.0,10.0,Platinum,1.0,305.591,4.0,0.0,0.0,9.0,13.0,0,1,3
633ccb39-8dc4-42f2-ad42-889be51899d7,Bind,19.0,12.0,16.0,11.0,Platinum,1.0,241.25,1.0,2.0,0.0,11.0,13.0,0,1,3
e8b56652-ec85-40c4-97e8-591e74797545,Haven,35.0,1.0,16.0,11.0,Platinum,1.0,502.65,5.0,1.0,0.0,7.0,13.0,1,3,1
f3000f1d-21b7-4cd7-be92-d7feb0c62d94,Lotus,18.0,8.0,12.0,9.0,Platinum,1.0,263.9,4.0,0.0,1.0,13.0,7.0,0,1,3
e47d1d34-69f2-41ca-8893-8ed0d8a9d6eb,Breeze,28.0,7.0,11.0,11.0,Platinum,1.0,419.65,8.0,2.0,2.0,13.0,7.0,1,3,1
cb103d02-7899-4e69-b4a7-0afda2765d9a,Fracture,31.0,4.0,15.0,12.0,Platinum,1.0,387.783,4.0,4.0,0.0,10.0,13.0,1,3,1
6d560583-ef81-4706-9f6e-70ddf975d62d,Split,17.0,4.0,17.0,7.0,Platinum,1.0,264.1,5.0,2.0,0.0,7.0,13.0,1,4,0
cdd051d9-f54e-4b14-816a-b9b72b0fd00e,Haven,12.0,9.0,19.0,10.0,Platinum,1.0,209.238,2.0,6.0,0.0,8.0,13.0,0,4,0
dc7d378e-7919-4a77-b767-0615665ca4a9,Fracture,39.0,7.0,17.0,16.0,Platinum,1.0,394.179,7.0,1.0,2.0,14.0,14.0,1,4,0
133916b0-27ed-44df-bb4b-e3805cfb8f89,Ascent,25.0,6.0,20.0,14.0,Platinum,1.0,334.87,2.0,6.0,0.0,10.0,13.0,0,3,1
eb306a08-8c72-4915-9016-204696d4ff5e,Fracture,9.0,1.0,14.0,2.0,Platinum,1.0,175.133,2.0,3.0,0.0,2.0,13.0,1,3,1
d034107a-37cd-4789-9a6e-69b9496e0e3d,Split,15.0,9.0,15.0,8.0,Platinum,1.0,303.588,3.0,6.0,0.0,4.0,13.0,0,4,0
5f3154c4-4862-4b92-a687-a833063aeb43,Breeze,18.0,7.0,19.0,9.0,Platinum,1.0,264.905,3.0,2.0,0.0,8.0,13.0,0,4,0
4ca2af9c-4b00-42b5-8cd5-40f28908d28d,Fracture,12.0,4.0,8.0,4.0,Platinum,1.0,199.579,2.0,2.0,3.0,13.0,6.0,1,2,2
503a70f6-527c-4c01-bc90-2ef3b7f39931,Pearl,14.0,7.0,14.0,7.0,Platinum,1.0,286.875,5.0,3.0,0.0,3.0,13.0,1,4,0
89d6795c-c17e-40cc-845b-d8faca4f5121,Pearl,25.0,3.0,14.0,12.0,Platinum,1.0,378.105,6.0,2.0,0.0,6.0,13.0,1,4,0
87dba074-8141-4f21-8d13-8fa9c9f3eedc,Haven,34.0,4.0,12.0,14.0,Platinum,1.0,429.955,4.0,1.0,1.0,13.0,9.0,1,4,0
62c98dd2-a9d7-483d-9e3d-3823e7939b2f,Ascent,18.0,4.0,14.0,8.0,Platinum,1.0,289.474,1.0,1.0,0.0,6.0,13.0,1,1,3
a720fdba-ae12-44bd-b069-d061a8b28a93,Haven,18.0,5.0,15.0,5.0,Platinum,1.0,262.714,1.0,1.0,0.0,8.0,13.0,0,1,3
6f196955-1794-42b4-8ae1-b9e3960d2615,Ascent,15.0,12.0,14.0,13.0,Platinum,1.0,229.6,2.0,1.0,1.0,13.0,7.0,0,1,3
1b088ab7-944f-41f9-976b-5eaf6c9bd2de,Split,19.0,3.0,13.0,4.0,Platinum,1.0,268.667,6.0,2.0,2.0,13.0,8.0,1,1,3
029af2c3-6446-413d-a35e-11bcaa0f4d88,Pearl,29.0,5.0,18.0,16.0,Platinum,1.0,389.261,4.0,4.0,0.0,10.0,13.0,0,4,0
aaf05d09-954e-4d38-bf46-7d92a6151fff,Fracture,28.0,2.0,13.0,6.0,Platinum,1.0,380.0,6.0,1.0,1.0,13.0,7.0,1,4,0
b57f4584-a461-440b-bb02-96bc1bcfa4aa,Lotus,22.0,8.0,16.0,10.0,Platinum,1.0,202.25,3.0,3.0,0.0,13.0,15.0,0,1,3
e5d7c626-89de-482a-97d5-bae12f05c2b2,Haven,17.0,4.0,12.0,24.0,Platinum,1.0,257.889,3.0,0.0,1.0,13.0,5.0,0,1,3
a53cc781-bd8e-4a6d-8d5b-18543b57f17f,Breeze,27.0,2.0,11.0,6.0,Platinum,1.0,363.8,4.0,3.0,1.0,13.0,7.0,1,4,0
0c3e623d-2cf2-447f-b79a-8473138f4cef,Haven,28.0,5.0,12.0,17.0,Platinum,1.0,400.5,6.0,2.0,2.0,13.0,7.0,0,4,0
a709c081-0c08-45c4-aba8-991378dc8265,Split,15.0,5.0,15.0,10.0,Platinum,1.0,267.0,3.0,3.0,0.0,4.0,13.0,0,4,0
e2eb5773-58f5-4419-ab76-ec39f8f6a332,Pearl,27.0,7.0,10.0,14.0,Gold,3.0,419.842,2.0,1.0,1.0,13.0,6.0,0,1,3
93b5a5fb-145d-4389-8212-646c0e2cd63f,Ascent,18.0,9.0,15.0,13.0,Platinum,1.0,317.158,3.0,3.0,0.0,6.0,13.0,0,1,3
0ca182c3-9f34-4338-86c6-cea309950b33,Lotus,10.0,3.0,15.0,5.0,Platinum,1.0,182.471,2.0,4.0,0.0,4.0,13.0,1,1,3
92df72cd-08de-4705-ac7b-61cfe9b7b6be,Lotus,13.0,2.0,15.0,7.0,Platinum,1.0,247.812,0.0,2.0,0.0,3.0,13.0,0,1,3
c99bc019-943e-4537-9987-d7505a75a437,Breeze,31.0,5.0,19.0,7.0,Platinum,1.0,314.357,5.0,3.0,0.0,13.0,15.0,1,1,3
5f6d396a-ed94-41cd-89b6-363ab066cee7,Haven,21.0,4.0,16.0,7.0,Platinum,1.0,290.19,4.0,2.0,0.0,8.0,13.0,1,1,3
e35772de-b85e-4a27-9f47-1c609334e694,Ascent,20.0,7.0,7.0,8.0,Platinum,1.0,334.688,1.0,1.0,1.0,13.0,3.0,0,1,3
08dc66f4-161e-4e38-84c0-fec17917a94d,Haven,17.0,7.0,9.0,16.0,Platinum,1.0,305.118,6.0,1.0,2.0,13.0,4.0,0,1,3
60bbf09a-c95a-4a2d-871b-d956aede53b8,Breeze,14.0,6.0,7.0,6.0,Platinum,1.0,284.375,3.0,0.0,1.0,13.0,3.0,1,1,3
cd0396c8-d6bb-4cae-b346-a15290b48162,Pearl,14.0,6.0,9.0,6.0,Platinum,1.0,238.529,2.0,5.0,2.0,13.0,4.0,0,1,3
e351fcca-6901-4254-9268-29778a978b7c,Haven,39.0,8.0,14.0,15.0,Platinum,1.0,459.417,4.0,2.0,2.0,13.0,11.0,0,4,0
441151d2-df0b-4831-98a8-50d72119b095,Ascent,27.0,4.0,11.0,14.0,Platinum,1.0,371.7,5.0,1.0,3.0,13.0,7.0,1,4,0
e544faab-c55e-4b38-8b5b-3a559e2b5327,Split,37.0,6.0,17.0,22.0,Platinum,1.0,543.333,6.0,1.0,0.0,8.0,13.0,0,4,0
1c81bd27-c45a-4eb5-90b7-050e01c29f00,Lotus,18.0,5.0,15.0,12.0,Platinum,1.0,252.632,0.0,3.0,0.0,6.0,13.0,0,4,0
550b39ef-f5fe-4eea-b2cf-c29b7a01cb08,Pearl,37.0,7.0,14.0,25.0,Platinum,1.0,472.348,6.0,1.0,1.0,13.0,10.0,0,4,0
41eeff46-8770-4323-9e72-fbfe14c0eb68,Haven,21.0,3.0,20.0,25.0,Platinum,1.0,281.5,3.0,4.0,0.0,9.0,13.0,1,4,0
59fc0ff4-a418-4790-bc53-9dba888993a4,Breeze,25.0,3.0,16.0,9.0,Unrated,,326.762,5.0,3.0,0.0,8.0,13.0,0,4,0
c995a64e-b96b-4284-9960-a3bd6fe12a2b,Lotus,3.0,2.0,0.0,0.0,Unrated,,45.692,0.0,0.0,1.0,4.0,0.0,0,4,0
977f9ada-c16a-473a-8e64-004372404cca,Sunset,27.0,6.0,14.0,18.0,Unrated,,359.435,5.0,3.0,2.0,13.0,10.0,0,2,2
d5fa6d06-c66f-4d34-acbe-618bd5ccf9f6,Lotus,20.0,11.0,10.0,10.0,Unrated,,327.833,4.0,2.0,3.0,13.0,5.0,0,2,2
805fe7da-988b-4682-ad3a-ccbc10972e9b,Summit,31.0,6.0,9.0,14.0,Silver,3.0,391.286,2.0,1.0,1.0,13.0,8.0,1,2,2
5dccdf2d-42a9-4204-b794-3354b16f356f,Lotus,12.0,1.0,9.0,7.0,Silver,3.0,221.357,0.0,0.0,0.0,1.0,9.0,0,2,2
e76cdc59-7ec8-4f57-915b-9b995285e936,Ascent,29.0,9.0,15.0,20.0,Silver,3.0,400.318,4.0,2.0,1.0,13.0,9.0,1,4,0
e809a353-a80f-412a-8781-7937b83c8eb4,Haven,30.0,3.0,14.0,18.0,Unrated,,398.045,7.0,1.0,2.0,13.0,9.0,0,4,0
1cdcc5ed-b9c9-475a-9001-48f9662b6679,Split,23.0,8.0,14.0,10.0,Silver,3.0,351.632,5.0,2.0,1.0,13.0,6.0,1,4,0
15c9f11b-4d35-4eb0-aa95-cf45421428bc,Split,36.0,2.0,13.0,15.0,Silver,3.0,499.15,5.0,1.0,1.0,13.0,7.0,1,4,0
00d24683-4c86-4883-b61c-3cff43ce0d5d,Summit,19.0,10.0,17.0,12.0,Gold,1.0,321.333,5.0,2.0,0.0,8.0,13.0,1,4,0
f8d344c0-20b0-4b2d-a9ab-241f28ca4c71,Breeze,3.0,0.0,5.0,1.0,Gold,1.0,65.0,2.0,1.0,0.0,0.0,5.0,1,4,0
fa77eb28-e60d-435f-9f5e-3fdc663a00bc,Summit,21.0,8.0,14.0,17.0,Silver,3.0,273.238,2.0,1.0,1.0,13.0,8.0,0,1,3
175c8a33-2b78-48cf-a4f3-129d09051bc3,Haven,25.0,5.0,14.0,8.0,Gold,1.0,340.727,2.0,1.0,0.0,9.0,13.0,0,1,3
cb481d0e-d71b-4ec8-b2ae-ef50852c5e16,Sunset,14.0,5.0,16.0,3.0,Gold,1.0,215.476,4.0,4.0,0.0,8.0,13.0,0,1,3
c4e0e852-896f-41c9-bafd-71db7c0ee67e,Lotus,21.0,7.0,16.0,11.0,Gold,1.0,272.864,4.0,1.0,1.0,13.0,9.0,1,4,0
96c3d835-41b6-42a9-a300-d529425b09cd,Ascent,19.0,3.0,15.0,7.0,Gold,1.0,297.263,3.0,2.0,0.0,6.0,13.0,1,4,0
2abfe2f9-87a1-492d-a6bc-b2da7101f829,Breeze,16.0,5.0,18.0,7.0,Gold,1.0,217.6,1.0,5.0,0.0,7.0,13.0,0,4,0
ced664a5-45c2-4c3f-bcdc-3cb3961d8e27,Sunset,2.0,0.0,5.0,0.0,Gold,1.0,41.538,0.0,0.0,0.0,0.0,5.0,0,4,0
c360fb51-e2d7-4a8c-b012-bf2df25f582a,Haven,13.0,8.0,17.0,10.0,Gold,1.0,214.333,1.0,3.0,0.0,8.0,13.0,1,4,0
f93e046d-614f-445f-a2ba-373a4d310515,Ascent,30.0,6.0,14.0,19.0,Gold,1.0,400.318,6.0,1.0,1.0,13.0,9.0,1,4,0
